song_id,title,release_date,length
1,The A Team,2011-06-12,4:18
2,Thinking Out Loud,2014-09-24,4:41
3,Shape of You,2017-01-06,3:53
4,Castle on the Hill,2017-01-06,4:21
5,Perfect,2017-09-26,4:23
6,Beautiful People (feat. Khalid),2019-06-28,3:17
7,Bad Habits,2021-06-25,3:51
8,Shivers,2021-09-10,3:27
9,My Name Is,1999-01-25,4:28
10,The Real Slim Shady,2000-04-18,4:44
11,Stan,2000-12-08,6:44
12,Without Me,2002-05-14,4:50
13,Lose Yourself,2002-10-28,5:26
14,Just Lose It,2004-09-28,4:08
15,Not Afraid,2010-04-29,4:08
16,Love The Way You Lie (feat. Rihanna),2010-08-09,4:23
17,Circle of Life,1994-05-31,4:51
18,Now We Are Free,2000-04-25,4:14
19,He's a Pirate,2003-07-22,1:30
20,Why So Serious?,2008-07-15,9:14
21,Time,2010-07-13,4:35
22,No Time for Caution,2014-11-17,4:06
23,Supermarine,2017-07-21,8:03
24,Paul's Dream,2021-09-17,5:24
25,Drink the Night Away,1999-07-13,3:33
26,The Farmer's Frolic,1999-07-13,3:18
27,Heart of the Ocean,1999-07-13,4:12
28,Tell Me Ma,2001-08-21,3:45
29,Beggarman,2001-08-21,3:39
30,The Buzzards of Bourbon Street,2001-08-21,4:01
31,Born to Be a Bachelor,2006-07-25,3:37
32,The Night I Punched Russell Crowe,2006-07-25,3:29
33,Slim Jim and the Seven Eleven Girl,2006-07-25,3:52
34,One Last Drink,2010-08-03,3:34
35,Raised on Black and Tans,2010-08-03,3:27
36,The Buzzards of Bourbon Street,2010-08-03,3:56
37,I Saw Her Standing There,1963-03-22,2:55
38,Please Please Me,1963-03-22,2:00
39,Love Me Do,1963-03-22,2:22
40,Eleanor Rigby,1966-08-05,2:07
41,Yellow Submarine,1966-08-05,2:40
42,"Here, There and Everywhere",1966-08-05,2:26
43,Sgt. Pepper's Lonely Hearts Club Band,1967-06-01,2:02
44,With a Little Help from My Friends,1967-06-01,2:44
45,Lucy in the Sky with Diamonds,1967-06-01,3:28
46,Come Together,1969-09-26,4:19
47,Here Comes the Sun,1969-09-26,3:06
48,Something,1969-09-26,3:03
49,Bohemian Rhapsody,1975-10-31,5:55
50,You're My Best Friend,1975-11-21,2:50
51,Love of My Life,1975-11-21,3:38
52,We Will Rock You,1977-10-07,2:02
53,We Are the Champions,1977-10-07,3:00
54,Spread Your Wings,1977-10-28,4:34
55,Another One Bites the Dust,1980-08-22,3:36
56,Crazy Little Thing Called Love,1979-10-05,2:43
57,Save Me,1980-01-25,3:48
58,Innuendo,1991-01-14,6:29
59,The Show Must Go On,1991-10-14,4:31
